,Col1,Col2,Col3,Col4,Col5
Row1,KP,LMT,AMT,IRAM,SMA
Row2,KP,LMT,OVRO,YEB,SMT
Row3,LMT,OVRO,ALMA,IRAM,SMT
Row4,IRAM,JCMT,KP,SMA,YEB
Row5,ALMA,SMA,APEX,IRAM,GBT
Row6,GBT,ALMA,AMT,SMT,YEB
Row7,ALMA,APEX,GBT,JCMT,OVRO
Row8,OVRO,KP,AMT,SMA,IRAM
Row9,KP,SMT,AMT,IRAM,ALMA
Row10,GBT,JCMT,ALMA,APEX,OVRO
Row11,JCMT,SMA,SMT,HAY,YEB
Row12,IRAM,OVRO,HAY,SMA,APEX
Row13,SMA,KP,IRAM,GBT,SMT
Row14,SMT,LMT,ALMA,KP,AMT
Row15,ALMA,SMT,SMA,KP,JCMT
Row16,YEB,KP,IRAM,GBT,AMT
Row17,YEB,SMA,AMT,GBT,KP
Row18,YEB,HAY,AMT,KP,IRAM
Row19,APEX,GBT,AMT,OVRO,SMA
Row20,IRAM,KP,YEB,HAY,JCMT
Row21,GBT,OVRO,APEX,SMA,YEB
Row22,GBT,APEX,YEB,JCMT,AMT
Row23,IRAM,KP,SMT,OVRO,LMT
Row24,APEX,SMT,OVRO,YEB,ALMA
Row25,AMT,YEB,GBT,HAY,APEX
Row26,HAY,IRAM,SMA,ALMA,GBT
Row27,GBT,YEB,OVRO,LMT,AMT
Row28,APEX,AMT,OVRO,YEB,ALMA
Row29,ALMA,JCMT,GBT,HAY,IRAM
Row30,AMT,ALMA,HAY,SMT,OVRO
Row31,APEX,AMT,KP,JCMT,ALMA
Row32,JCMT,ALMA,KP,OVRO,APEX
Row33,SMT,IRAM,APEX,AMT,ALMA
Row34,APEX,AMT,ALMA,IRAM,OVRO
Row35,HAY,ALMA,SMA,APEX,KP
Row36,SMT,SMA,IRAM,JCMT,LMT
Row37,ALMA,SMT,LMT,YEB,HAY
Row38,LMT,APEX,GBT,ALMA,HAY
Row39,SMA,ALMA,OVRO,JCMT,KP
Row40,KP,APEX,IRAM,YEB,HAY
Row41,KP,HAY,OVRO,YEB,IRAM
Row42,YEB,SMT,HAY,GBT,AMT
Row43,SMT,AMT,ALMA,GBT,SMA
Row44,GBT,KP,SMT,SMA,APEX
Row45,IRAM,GBT,APEX,HAY,OVRO
Row46,KP,HAY,SMA,IRAM,SMT
Row47,AMT,YEB,IRAM,OVRO,APEX
Row48,ALMA,IRAM,AMT,GBT,SMT
Row49,AMT,SMA,APEX,YEB,OVRO
Row50,KP,HAY,SMA,APEX,YEB
Row51,LMT,SMA,APEX,OVRO,AMT
Row52,ALMA,JCMT,LMT,KP,IRAM
Row53,GBT,APEX,AMT,JCMT,OVRO
Row54,LMT,JCMT,IRAM,ALMA,HAY
Row55,OVRO,GBT,KP,LMT,AMT
Row56,HAY,LMT,OVRO,IRAM,YEB
Row57,APEX,LMT,HAY,GBT,ALMA
Row58,SMT,KP,APEX,SMA,IRAM
Row59,SMT,LMT,IRAM,OVRO,YEB
Row60,LMT,ALMA,HAY,AMT,SMT
Row61,ALMA,GBT,YEB,JCMT,KP
Row62,YEB,HAY,IRAM,JCMT,SMA
Row63,ALMA,JCMT,YEB,SMA,KP
Row64,YEB,SMT,APEX,HAY,JCMT
Row65,GBT,KP,SMA,AMT,JCMT
Row66,LMT,KP,IRAM,HAY,ALMA
Row67,HAY,LMT,AMT,IRAM,SMA
Row68,SMA,AMT,ALMA,KP,APEX
Row69,JCMT,APEX,ALMA,OVRO,LMT
Row70,APEX,KP,SMT,GBT,YEB
Row71,LMT,KP,HAY,APEX,JCMT
Row72,SMT,AMT,APEX,HAY,OVRO
Row73,KP,SMA,YEB,JCMT,LMT
Row74,AMT,KP,SMT,IRAM,YEB
Row75,JCMT,GBT,AMT,SMT,KP
Row76,HAY,IRAM,KP,AMT,YEB
Row77,LMT,KP,IRAM,SMT,JCMT
Row78,SMA,APEX,KP,SMT,YEB
Row79,AMT,OVRO,HAY,JCMT,GBT
Row80,YEB,SMT,SMA,ALMA,OVRO
Row81,KP,ALMA,JCMT,LMT,YEB
Row82,KP,JCMT,ALMA,HAY,SMA
Row83,HAY,IRAM,GBT,SMT,ALMA
Row84,LMT,OVRO,IRAM,ALMA,SMA
Row85,JCMT,SMT,AMT,SMA,APEX
Row86,KP,IRAM,HAY,LMT,APEX
Row87,IRAM,LMT,SMT,GBT,APEX
Row88,LMT,APEX,OVRO,SMT,KP
Row89,GBT,SMA,SMT,JCMT,LMT
Row90,ALMA,SMT,LMT,KP,YEB
Row91,APEX,HAY,SMA,KP,YEB
Row92,KP,AMT,SMA,IRAM,APEX
Row93,YEB,APEX,OVRO,SMT,IRAM
Row94,LMT,ALMA,OVRO,GBT,APEX
Row95,SMT,HAY,APEX,OVRO,GBT
Row96,APEX,JCMT,HAY,LMT,YEB
Row97,JCMT,YEB,SMT,HAY,APEX
Row98,IRAM,AMT,SMT,JCMT,YEB
Row99,ALMA,GBT,SMT,SMA,IRAM
Row100,SMT,YEB,IRAM,ALMA,OVRO
Row101,HAY,KP,APEX,JCMT,OVRO
Row102,LMT,IRAM,YEB,AMT,KP
Row103,JCMT,GBT,YEB,OVRO,IRAM
Row104,JCMT,GBT,ALMA,SMT,AMT
Row105,SMA,SMT,GBT,ALMA,APEX
Row106,HAY,YEB,LMT,IRAM,SMT
Row107,SMA,GBT,JCMT,OVRO,ALMA
Row108,APEX,LMT,YEB,SMT,OVRO
Row109,LMT,YEB,KP,AMT,HAY
Row110,OVRO,ALMA,APEX,SMA,AMT
